Paper_ID,Citation_Type,Cited_PaperId,Year,Title
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,8162ad97a749cda8e617e95286246236da94e0c3,2025,"Recombinant Production of Erythropoietin (EPO): Technical Principles, Challenges, and Advances in Biosimilar Development"
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,0ed4c612c33bb77180a5a7add85241b3cd96e0c5,2025,Establishment of an indirect ELISA method for detecting bovine coronavirus antibodies based on N protein
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,9723b5bb2c2e930762923381cc9750ae89b39f35,2021,Recombinant Human Erythropoietin Production in Chinese Hamster Ovary Cells Is Enhanced by Supplementation of α-Helix Domain of 30Kc19 Protein
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,7681708ce354545379828a3ae06822fcffd47aa9,2020,Serum‐free suspension cultured human cells can produce a high‐level of recombinant human erythropoietin
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,bb250f76e494692682bd62c3edce215640ba2bcf,2020,Physicochemical and biological evaluation of JR-131 as a biosimilar to a long-acting erythropoiesis-stimulating agent darbepoetin alfa
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,873adc350f0f99e82eb3c3c947bfec21e0087af4,2020,Enhancing the yield of human erythropoietin in Aspergillus niger by introns and CRISPR-Cas9.
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,573c3b608af1826fb75a4af125765052df9b8ee8,2019,Small-scale bioreactor supports high density HEK293 cell perfusion culture for the production of recombinant Erythropoietin.
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,a704c229bbc9b8e7389334a9841e2f87823d19a0,2017,A critical look at innovation profile and its relationship with pharmaceutical industry
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,3f21c3304e923ab4827e2d6ae1319cf0e37594f5,2017,"Design, selection, and development of cyclic peptide ligands for human erythropoietin."
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,4575e2d9177a918b1c0969c8835441131a8d81f5,2017,Production of Erythropoietin-Specific Polyclonal Antibodies
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,61ad85232f6709faea8ff4987cffefe5b387ddb6,2016,Development of new methods to study cell surface glycosylation
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,8421c936073d7d763a480b32cc1894d0613687d6,2016,Peptide Affinity Adsorbents for Purification of High-Value Biotherapeutics.
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,7bc4da3c57d6b757d4fbaeb56af610fe7cf1e552,2016,Adaptation of CHO cells in serum‐free conditions for erythropoietin production: Application of EVOP technique for process optimization
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,ab5f7de9f8011e5056e8a1e02555837918c7e62a,2016,Occurrence of free sialyl oligosaccharides related to N-glycans (sialyl free N-glycans) in animal sera.
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,02df02c41839207c927fe3fc13d5cab125e7c866,2016,Computational and nonglycosylated systems: a simpler approach for development of nanosized PEGylated proteins
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,35e195600e32e4ea119da76a542d50df027edac9,2015,Versatile microscale screening platform for improving recombinant protein productivity in Chinese hamster ovary cells
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,f80a5ddc6261252356ea4b218b867f07d2c590a6,2015,Protein body formation in leaves of Nicotiana benthamiana: a concentration-dependent mechanism influenced by the presence of fusion tags.
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,4538a6cba7ca1f652cf4b69c0bba6293bad92675,2015,Technologies for glycomic characterization of biopharmaceutical erythropoietins
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,e48602ea5fbf788fbca3de5b1faf53436c24b022,2015,Development of a VHH-Based Erythropoietin Quantification Assay
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,d7e78841ac3cc04cc51db2d2c877671ceb8e4cb2,2014,Glycosylation-related genes in NS0 cells are insensitive to moderately elevated ammonium concentrations.
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,17c6c349ee38bf3eb5cf4e3c9ab95acba582d6b4,2014,Therapeutic impact of erythropoietin-encapsulated liposomes targeted to bone marrow on renal anemia.
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,e65792c313434af3c815080e340ab37e3ee553db,2014,Blood Doping: Risks to Athletes’ Health and Strategies for Detection
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,20e14e9e107cb401c86d84a7196efe25284cd8f4,2014,Mechanism of Erythropoietin Regulation by Angiotensin II
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,68e18023e2c69397b56cc9b75c1a6365cac4bceb,2014,Characterization of N-glycan heterogeneities of erythropoietin products by liquid chromatography/mass spectrometry and multivariate analysis.
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,2dcf956d90ce35b1c6aa0109009ad18b9d90f97e,2014,"Pharmacodynamics, Pharmacokinetics, and Tolerability of Intravenous or Subcutaneous GC1113, a Novel Erythropoiesis-Stimulating Agent"
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,2af52ef425ca0c354a9f656bc8270a6eb36344b7,2014,Erythropoietin and the heart: physiological effects and the therapeutic perspective.
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,b0960535cc9bcce1e59440e3b2b8530e86260f18,2015,Novel Therapeutic Proteins and Peptides
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,c43153b252594221f0b73b02c446eb4c0ba085cc,2014,Protein Body Biogenesis and Utility in Recombinant Protein Production in Nicotiana benthamiana
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,bb28d59b46aa2b1c464e5fcb43c22c388721b666,2014,Microsoft Word-Epo_paper second revision 4 1 2014
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,6491652753e7f8aa7fc8dc7f0811a9173329afe3,2014,"epoetin zeta in the management of anemia associated with chronic kidney disease, differential pharmacology and clinical utility"
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,9be99c2f3feafd037a5636a8e02ab4896a4a346e,2013,Monitorização das alterações dos parâmetros analíticos da pessoa hemodialisada (efeitos do treino de maximização da funcionalidade)
1aaa70f955841f3eb70d928964e388d66ba1197d,Forward,a9fc26df418caeb2f802ce61149a85afcce9c03d,,"Biologics: Targets and Therapy Dovepress Epoetin Zeta in the Management of Anemia Associated with Chronic Kidney Disease, Differential Pharmacology and Clinical Utility"
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,106baf01749a0555aa71db4e320ccc896d989ae3,2011,CHO cells in biotechnology for production of recombinant proteins: current state and further potential
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,3a514637cae503245c68fc9331190f63d9e894ae,2011,Bcl-x(L) overexpression delays the onset of autophagy and apoptosis in hyperosmotic recombinant Chinese hamster ovary cell cultures.
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,57a73a608f8cf1f25cb27dc0ee7fc74388db2671,2011,Enhanced sialylation of recombinant human erythropoietin in Chinese hamster ovary cells by combinatorial engineering of selected genes.
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,e190accba1d0820217fe28004b6809dbe3ed9f30,2011,Enhancement of recombinant human EPO production and sialylation in chinese hamster ovary cells through Bombyx mori 30Kc19 gene expression
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,bf3d96937bf04e068a8050e10fd32b6d727201e5,2010,Biosimilar epoetins and other “follow‐on” biologics: Update on the European experiences
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,0aa57e956ef32f162a57b7d1608e4624b92ef4b2,2010,An investigation of intracellular glycosylation activities in CHO cells: Effects of nucleotide sugar precursor feeding
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,70face0bdc788c9024ec39e987d7e753ce84445b,2010,Implications of the presence of N-glycolylneuraminic acid in recombinant therapeutic glycoproteins
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,50ee705b476a36d8cebcd3faa454a473691a9ff6,2010,Evaluating regulatory elements of human cytomegalovirus major immediate early gene for enhancing transgene expression levels in CHO K1 and HEK293 cells.
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,86cce2c23412f987a324ffabc181123e9df9ee74,2010,Effects of culture conditions on N‐glycolylneuraminic acid (Neu5Gc) content of a recombinant fusion protein produced in CHO cells
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,1a98f459db9a445d2c00833553fc4d8e3060e9d0,2009,Production and characterization of long-acting recombinant human albumin-EPO fusion protein expressed in CHO cell.
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,9c33a97de616b1357c575866b7d91a86daa0ed21,2009,Optimal and consistent protein glycosylation in mammalian cell culture.
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,25255280f946a2176b6abdbcbe42cf7b6a84d933,2009,Enhanced sialylation of recombinant erythropoietin in genetically engineered Chinese‐hamster ovary cells
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,25ef8773eb5694aef15cde6ee0ee36e9e2e69581,2008,Effect of culture temperature on erythropoietin production and glycosylation in a perfusion culture of recombinant CHO cells
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,c001f7c787b4c75f1ce0c7b16be19973d1329371,2008,Enhanced sialylation of recombinant erythropoietin in CHO cells by human glycosyltransferase expression.
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,3f06392249ecc72aaf3adef3a622d76e1838ee86,2008,"Diversity in specificity, abundance, and composition of anti-Neu5Gc antibodies in normal humans: potential implications for disease."
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,1f53f83adf95a70429862fdffd50cd60ce598b56,2007,Development of a long-acting erythropoietin by fusing the carboxyl-terminal peptide of human chorionic gonadotropin beta-subunit to the coding sequence of human erythropoietin.
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,7ff8930be3ae97f2c38e6562351fc500b3ec46f3,2007,Enhanced sialylation of EPO by overexpression of UDP‐GlcNAc 2‐epimerase/ManAc kinase containing a sialuria mutation in CHO cells
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,f94ed23ca40bade2940f0b7816a7574f543dc774,2007,Amino acid and manganese supplementation modulates the glycosylation state of erythropoietin in a CHO culture system
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,7e2feb55eeeeb2b72f2783dd7c90f222f2f840e9,2006,"Caspase activation, sialidase release and changes in sialylation pattern of recombinant human erythropoietin produced by CHO cells in batch and fed-batch cultures"
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,946634fc99cfce7c0e34e833e4a42f5f9b68f51d,2006,Humanization of Yeast to Produce Complex Terminally Sialylated Glycoproteins
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,f8e5bb874f63960fb65b8d72cff08a54c45d9a0f,2006,RNA interference of sialidase improves glycoprotein sialic acid content consistency
1aaa70f955841f3eb70d928964e388d66ba1197d,Backward,e24dcd26304ed953538f08a4778df25611c6c405,2006,"Process parameter shifting: Part I. Effect of DOT, pH, and temperature on the performance of Epo‐Fc expressing CHO cells cultivated in controlled batch bioreactors"
